"BehaviorSpace results (NetLogo 6.2.2)"
"main.nlogo"
"base-experiment"
"01/22/2022 14:52:57:666 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","professor-count","student-count","fire-speed","fire_damage","fires-at-start","exit1","exit2","exit3","exit4","[step]","count fire-spots","count students with [safe-student? = true] ;safe","count students with [health-student? <= 0] ;dead"
"2","1","10","6","0.1","3","true","true","true","true","257","571","3","7"
"3","1","10","6","0.1","3","true","true","true","true","274","554","5","5"
"4","1","10","6","0.1","3","true","true","true","true","254","431","3","7"
"5","1","10","6","0.1","3","true","true","true","true","296","530","6","4"
"6","1","10","6","0.1","3","true","true","true","true","243","567","2","8"
"7","1","10","6","0.1","3","true","true","true","true","330","809","4","6"
"8","1","10","6","0.1","3","true","true","true","true","333","321","9","1"
"9","1","10","6","0.1","3","true","true","true","true","240","683","0","10"
"17","1","50","6","0.1","3","true","true","true","true","234","512","9","41"
"15","1","50","6","0.1","3","true","true","true","true","207","422","6","44"
"10","1","10","6","0.1","3","true","true","true","true","274","449","9","1"
"18","1","50","6","0.1","3","true","true","true","true","264","682","17","33"
"13","1","50","6","0.1","3","true","true","true","true","348","727","38","12"
"12","1","50","6","0.1","3","true","true","true","true","234","502","11","39"
"16","1","50","6","0.1","3","true","true","true","true","357","720","37","13"
"14","1","50","6","0.1","3","true","true","true","true","427","930","42","8"
"19","1","50","6","0.1","3","true","true","true","true","282","752","26","24"
"24","1","100","6","0.1","3","true","true","true","true","201","559","0","100"
"20","1","50","6","0.1","3","true","true","true","true","390","993","26","24"
"28","1","100","6","0.1","3","true","true","true","true","320","430","80","20"
"22","1","100","6","0.1","3","true","true","true","true","530","532","99","1"
"26","1","100","6","0.1","3","true","true","true","true","285","877","0","100"
"25","1","100","6","0.1","3","true","true","true","true","368","737","64","36"
"11","1","50","6","0.1","3","true","true","true","true","536","1258","34","16"
"31","5","10","6","0.1","3","true","true","true","true","337","392","10","0"
"32","5","10","6","0.1","3","true","true","true","true","274","14","9","1"
"21","1","100","6","0.1","3","true","true","true","true","616","1178","76","24"
"27","1","100","6","0.1","3","true","true","true","true","335","712","76","24"
"23","1","100","6","0.1","3","true","true","true","true","401","1050","62","38"
"39","5","10","6","0.1","3","true","true","true","true","123","215","0","10"
"35","5","10","6","0.1","3","true","true","true","true","244","341","4","6"
"36","5","10","6","0.1","3","true","true","true","true","234","326","4","6"
"33","5","10","6","0.1","3","true","true","true","true","234","358","5","5"
"37","5","10","6","0.1","3","true","true","true","true","276","325","5","5"
"29","1","100","6","0.1","3","true","true","true","true","409","998","29","71"
"30","1","100","6","0.1","3","true","true","true","true","459","1437","39","61"
"34","5","10","6","0.1","3","true","true","true","true","510","705","7","3"
"41","5","50","6","0.1","3","true","true","true","true","284","488","29","21"
"1","1","10","6","0.1","3","true","true","true","true","226","361","5","5"
"40","5","10","6","0.1","3","true","true","true","true","409","479","5","5"
"42","5","50","6","0.1","3","true","true","true","true","360","296","41","9"
"43","5","50","6","0.1","3","true","true","true","true","394","380","25","25"
"45","5","50","6","0.1","3","true","true","true","true","315","432","33","17"
"49","5","50","6","0.1","3","true","true","true","true","246","355","27","23"
"38","5","10","6","0.1","3","true","true","true","true","594","986","5","5"
"44","5","50","6","0.1","3","true","true","true","true","347","325","28","22"
"48","5","50","6","0.1","3","true","true","true","true","311","536","23","27"
"46","5","50","6","0.1","3","true","true","true","true","304","404","30","20"
"50","5","50","6","0.1","3","true","true","true","true","399","503","26","24"
"47","5","50","6","0.1","3","true","true","true","true","458","527","33","17"
"55","5","100","6","0.1","3","true","true","true","true","327","484","29","71"
"59","5","100","6","0.1","3","true","true","true","true","359","319","74","26"
"60","5","100","6","0.1","3","true","true","true","true","298","377","64","36"
"53","5","100","6","0.1","3","true","true","true","true","470","795","46","54"
"58","5","100","6","0.1","3","true","true","true","true","410","395","83","17"
"61","10","10","6","0.1","3","true","true","true","true","362","378","9","1"
"54","5","100","6","0.1","3","true","true","true","true","337","590","32","68"
"64","10","10","6","0.1","3","true","true","true","true","408","268","0","10"
"56","5","100","6","0.1","3","true","true","true","true","497","891","47","53"
"57","5","100","6","0.1","3","true","true","true","true","610","371","63","37"
"63","10","10","6","0.1","3","true","true","true","true","359","467","8","2"
"66","10","10","6","0.1","3","true","true","true","true","387","617","8","2"
"69","10","10","6","0.1","3","true","true","true","true","274","131","10","0"
"62","10","10","6","0.1","3","true","true","true","true","531","172","5","5"
"67","10","10","6","0.1","3","true","true","true","true","377","360","7","3"
"70","10","10","6","0.1","3","true","true","true","true","465","0","9","1"
"68","10","10","6","0.1","3","true","true","true","true","317","597","0","10"
"71","10","50","6","0.1","3","true","true","true","true","285","303","32","18"
"65","10","10","6","0.1","3","true","true","true","true","749","119","9","1"
"73","10","50","6","0.1","3","true","true","true","true","373","355","37","13"
